Ids,Team 1,Team 2,Winner,Margin,Venue,Date,match_no,match_url,Team_1 P1,Team_1 P2,Team_1 P3,Team_1 P4,Team_1 P5,Team_1 P6,Team_1 P7,Team_1 P8,Team_1 P9,Team_1 P10,Team_1 P11,Team_2 P1,Team_2 P2,Team_2 P3,Team_2 P4,Team_2 P5,Team_2 P6,Team_2 P7,Team_2 P8,Team_2 P9,Team_2 P10,Team_2 P11,Captain 1,Captain 2,Toss,Bat_first
101,India,New Zealand,India,7 wickets,Mohali,"Oct 23, 2016",ODI # 3798,https://www.espncricinfo.com/India/engine/match/1030223.html,MJ Guptill,TWM Latham,KS Williamson (c),LRPL Taylor,CJ Anderson,L Ronchi †,JDS Neesham,MJ Santner,TG Southee,MJ Henry,TA Boult,RG Sharma,AM Rahane,V Kohli,MS Dhoni (c) †,MK Pandey,KM Jadhav ,AR Patel ,HH Pandya ,A Mishra ,UT Yadav ,JJ Bumrah,KS Williamson ,MS Dhoni  †,India,New Zealand
102,India,New Zealand,India,190 runs,Visakhapatnam,"Oct 29, 2016",ODI # 3800,https://www.espncricinfo.com/India/engine/match/1030227.html,AM Rahane,RG Sharma,V Kohli,MS Dhoni (c) †,MK Pandey,KM Jadhav,AR Patel,J Yadav,A Mishra ,UT Yadav ,JJ Bumrah,MJ Guptill,TWM Latham,KS Williamson (c),LRPL Taylor,JDS Neesham,BJ Watling †,CJ Anderson,MJ Santner,TG Southee,IS Sodhi,TA Boult,MS Dhoni  †,KS Williamson ,India,India
103,India,England,India,3 wickets,Pune,"Jan 15, 2017",ODI # 3819,https://www.espncricinfo.com/India/engine/match/1034819.html,JJ Roy,AD Hales,JE Root,EJG Morgan (c),JC Buttler †,BA Stokes,MM Ali,CR Woakes,DJ Willey,AU Rashid ,JT Ball,KL Rahul,S Dhawan,V Kohli (c),Yuvraj Singh,MS Dhoni †,KM Jadhav,HH Pandya,RA Jadeja,R Ashwin,JJ Bumrah ,UT Yadav,EJG Morgan ,V Kohli ,India,England
104,India,England,India,15 runs,Cuttack,"Jan 19, 2017",ODI # 3821,https://www.espncricinfo.com/India/engine/match/1034821.html,KL Rahul,S Dhawan,V Kohli (c),Yuvraj Singh,MS Dhoni †,KM Jadhav,HH Pandya,RA Jadeja,R Ashwin ,JJ Bumrah ,B Kumar,JJ Roy,AD Hales,JE Root,EJG Morgan (c),BA Stokes,JC Buttler †,MM Ali,CR Woakes,LE Plunkett,DJ Willey,JT Ball,V Kohli ,EJG Morgan ,England,India
105,India,Pakistan,India,124 runs,Birmingham,"Jun 4, 2017",ODI # 3878,https://www.espncricinfo.com/India/engine/match/1022353.html,RG Sharma,S Dhawan,V Kohli (c),Yuvraj Singh,HH Pandya,MS Dhoni † ,KM Jadhav ,RA Jadeja ,B Kumar ,UT Yadav ,JJ Bumrah,Azhar Ali,Ahmed Shehzad,Babar Azam,Mohammad Hafeez,Shoaib Malik,Sarfaraz Ahmed (c) †,Imad Wasim,Shadab Khan,Mohammad Amir,Hasan Ali,Wahab Riaz,V Kohli ,Sarfaraz Ahmed  †,Pakistan,India
106,India,South Africa,India,8 wickets,The Oval,"Jun 11, 2017",ODI # 3886,https://www.espncricinfo.com/India/engine/match/1022367.html,Q de Kock †,HM Amla,F du Plessis,AB de Villiers (c),DA Miller,JP Duminy,CH Morris,AL Phehlukwayo,K Rabada,M Morkel,Imran Tahir,RG Sharma,S Dhawan,V Kohli (c),Yuvraj Singh,MS Dhoni † ,HH Pandya ,KM Jadhav ,RA Jadeja ,B Kumar ,R Ashwin ,JJ Bumrah,AB de Villiers ,V Kohli ,India,South Africa
107,Bangladesh,India,India,9 wickets,Birmingham,"Jun 15, 2017",ODI # 3891,https://www.espncricinfo.com/India/engine/match/1022373.html,Tamim Iqbal,Soumya Sarkar,Sabbir Rahman,Mushfiqur Rahim †,Shakib Al Hasan,Mahmudullah,Mosaddek Hossain,Mashrafe Mortaza (c),Taskin Ahmed,Rubel Hossain ,Mustafizur Rahman,RG Sharma,S Dhawan,V Kohli (c),Yuvraj Singh ,MS Dhoni † ,KM Jadhav ,HH Pandya ,RA Jadeja ,R Ashwin ,B Kumar ,JJ Bumrah,Mashrafe Mortaza ,V Kohli ,India,Bangladesh
108,West Indies,India,India,105 runs,Port of Spain,"Jun 25, 2017",ODI # 3896,https://www.espncricinfo.com/India/engine/match/1098207.html,AM Rahane,S Dhawan,V Kohli (c),HH Pandya,Yuvraj Singh,MS Dhoni †,KM Jadhav,R Ashwin ,Kuldeep Yadav ,B Kumar ,UT Yadav,KOA Powell,SD Hope †,JN Mohammed,E Lewis,JL Carter,JO Holder (c),RL Chase,AR Nurse,D Bishoo ,AS Joseph ,ML Cummins,V Kohli ,JO Holder ,West Indies,India
109,West Indies,India,India,93 runs,North Sound,"Jun 30, 2017",ODI # 3898,https://www.espncricinfo.com/India/engine/match/1098208.html,AM Rahane,S Dhawan,V Kohli (c),Yuvraj Singh,MS Dhoni †,KM Jadhav,HH Pandya ,R Ashwin ,Kuldeep Yadav ,B Kumar ,UT Yadav,E Lewis,KA Hope,SD Hope †,RL Chase,JN Mohammed,JO Holder (c),R Powell,AR Nurse,D Bishoo,ML Cummins,KOK Williams,V Kohli ,JO Holder ,West Indies,India
110,West Indies,India,India,8 wickets,Kingston,"Jul 6, 2017",ODI # 3902,https://www.espncricinfo.com/India/engine/match/1098210.html,E Lewis,KA Hope,SD Hope †,RL Chase,JN Mohammed,JO Holder (c),R Powell,AR Nurse,D Bishoo,AS Joseph,KOK Williams,AM Rahane,S Dhawan,V Kohli (c),KD Karthik,MS Dhoni † ,KM Jadhav ,HH Pandya ,RA Jadeja ,Kuldeep Yadav ,UT Yadav ,Mohammed Shami,JO Holder ,V Kohli ,West Indies,West Indies
111,Sri Lanka,India,India,9 wickets,Dambulla,"Aug 20, 2017",ODI # 3905,https://www.espncricinfo.com/India/engine/match/1109605.html,N Dickwella †,MD Gunathilaka,BKG Mendis,WU Tharanga (c),AD Mathews,CK Kapugedera,PWH de Silva,NLTC Perera,PADLR Sandakan,SL Malinga,MVT Fernando,RG Sharma,S Dhawan,V Kohli (c),KL Rahul ,MS Dhoni † ,KM Jadhav ,HH Pandya ,AR Patel ,B Kumar ,JJ Bumrah ,YS Chahal,WU Tharanga ,V Kohli ,India,Sri Lanka
112,Sri Lanka,India,India,3 wickets,Pallekele,"Aug 24, 2017",ODI # 3906,https://www.espncricinfo.com/India/engine/match/1109606.html,N Dickwella †,MD Gunathilaka,BKG Mendis,WU Tharanga (c),AD Mathews,TAM Siriwardana,CK Kapugedera,A Dananjaya,PVD Chameera,MVT Fernando,SL Malinga,RG Sharma,S Dhawan,KL Rahul,KM Jadhav,V Kohli (c),MS Dhoni †,HH Pandya,AR Patel,B Kumar,JJ Bumrah ,YS Chahal,WU Tharanga ,V Kohli ,India,Sri Lanka
113,Sri Lanka,India,India,6 wickets,Pallekele,"Aug 27, 2017",ODI # 3907,https://www.espncricinfo.com/India/engine/match/1109607.html,N Dickwella †,LD Chandimal,BKG Mendis,HDRL Thirimanne,AD Mathews,CK Kapugedera (c),TAM Siriwardana,A Dananjaya,PVD Chameera,MVT Fernando,SL Malinga,RG Sharma,S Dhawan,V Kohli (c),KL Rahul,KM Jadhav,MS Dhoni †,HH Pandya ,AR Patel ,B Kumar ,JJ Bumrah ,YS Chahal,CK Kapugedera ,V Kohli ,Sri Lanka,Sri Lanka
114,Sri Lanka,India,India,168 runs,Colombo (RPS),"Aug 31, 2017",ODI # 3908,https://www.espncricinfo.com/India/engine/match/1109608.html,RG Sharma,S Dhawan,V Kohli (c),HH Pandya,KL Rahul,MK Pandey,MS Dhoni †,AR Patel ,Kuldeep Yadav ,JJ Bumrah ,SN Thakur,N Dickwella †,EMDY Munaweera,BKG Mendis,HDRL Thirimanne,AD Mathews,TAM Siriwardana,PWH de Silva,A Dananjaya,PM Pushpakumara,MVT Fernando,SL Malinga (c),V Kohli ,SL Malinga ,India,India
115,Sri Lanka,India,India,6 wickets,Colombo (RPS),"Sep 3, 2017",ODI # 3909,https://www.espncricinfo.com/India/engine/match/1109609.html,N Dickwella †,WU Tharanga (c),EMDY Munaweera,HDRL Thirimanne,AD Mathews,TAM Siriwardana,PWH de Silva,A Dananjaya,PM Pushpakumara,MVT Fernando,SL Malinga,RG Sharma,AM Rahane,V Kohli (c),MK Pandey,KM Jadhav,MS Dhoni †,JJ Bumrah ,YS Chahal ,Kuldeep Yadav ,B Kumar ,SN Thakur,WU Tharanga ,V Kohli ,Sri Lanka,Sri Lanka
116,India,Australia,India,26 runs,Chennai,"Sep 17, 2017",ODI # 3910,https://www.espncricinfo.com/India/engine/match/1119496.html,AM Rahane,RG Sharma,V Kohli (c),MK Pandey,KM Jadhav,MS Dhoni †,HH Pandya,B Kumar,Kuldeep Yadav,YS Chahal ,JJ Bumrah,DA Warner,HWR Cartwright,SPD Smith (c),TM Head,GJ Maxwell,MP Stoinis,MS Wade †,JP Faulkner,PJ Cummins,NM Coulter-Nile,A Zampa,V Kohli ,SPD Smith ,India,India
117,India,Australia,India,50 runs,Kolkata,"Sep 21, 2017",ODI # 3912,https://www.espncricinfo.com/India/engine/match/1119497.html,AM Rahane,RG Sharma,V Kohli (c),MK Pandey,KM Jadhav,MS Dhoni †,HH Pandya,B Kumar,Kuldeep Yadav,JJ Bumrah,YS Chahal,HWR Cartwright,DA Warner,SPD Smith (c),TM Head,GJ Maxwell,MP Stoinis,MS Wade †,AC Agar,PJ Cummins,NM Coulter-Nile,KW Richardson,V Kohli ,SPD Smith ,India,India
118,India,Australia,India,5 wickets,Indore,"Sep 24, 2017",ODI # 3914,https://www.espncricinfo.com/India/engine/match/1119498.html,DA Warner,AJ Finch,SPD Smith (c),GJ Maxwell,TM Head,MP Stoinis,PSP Handscomb †,AC Agar,PJ Cummins ,NM Coulter-Nile ,KW Richardson,AM Rahane,RG Sharma,V Kohli (c),HH Pandya,KM Jadhav,MK Pandey,MS Dhoni †,B Kumar ,Kuldeep Yadav ,JJ Bumrah ,YS Chahal,SPD Smith ,V Kohli ,Australia,Australia
119,India,Australia,India,7 wickets,Nagpur,"Oct 1, 2017",ODI # 3919,https://www.espncricinfo.com/India/engine/match/1119500.html,DA Warner,AJ Finch,SPD Smith (c),PSP Handscomb,TM Head,MP Stoinis,MS Wade †,JP Faulkner,PJ Cummins,NM Coulter-Nile,A Zampa,AM Rahane,RG Sharma,V Kohli (c),KM Jadhav,MK Pandey,HH Pandya ,MS Dhoni † ,B Kumar ,AR Patel ,JJ Bumrah ,Kuldeep Yadav,SPD Smith ,V Kohli ,Australia,Australia
120,India,New Zealand,India,6 wickets,Pune,"Oct 25, 2017",ODI # 3931,https://www.espncricinfo.com/India/engine/match/1120091.html,MJ Guptill,C Munro,KS Williamson (c),LRPL Taylor,TWM Latham †,HM Nicholls,C de Grandhomme,MJ Santner,AF Milne,TG Southee,TA Boult,RG Sharma,S Dhawan,V Kohli (c),KD Karthik,HH Pandya,MS Dhoni †,KM Jadhav ,AR Patel ,B Kumar ,JJ Bumrah ,YS Chahal,KS Williamson ,V Kohli ,New Zealand,New Zealand
121,India,New Zealand,India,6 runs,Kanpur,"Oct 29, 2017",ODI # 3932,https://www.espncricinfo.com/India/engine/match/1120092.html,RG Sharma,S Dhawan,V Kohli (c),HH Pandya,MS Dhoni †,KM Jadhav,KD Karthik,AR Patel ,B Kumar ,JJ Bumrah ,YS Chahal,MJ Guptill,C Munro,KS Williamson (c),LRPL Taylor,TWM Latham †,HM Nicholls,C de Grandhomme,MJ Santner,TG Southee,AF Milne ,TA Boult,V Kohli ,KS Williamson ,New Zealand,India
122,India,Sri Lanka,India,141 runs,Mohali,"Dec 13, 2017",ODI # 3941,https://www.espncricinfo.com/India/engine/match/1122727.html,RG Sharma (c),S Dhawan,SS Iyer,MS Dhoni †,HH Pandya,KD Karthik ,MK Pandey ,B Kumar ,Washington Sundar ,JJ Bumrah ,YS Chahal,MD Gunathilaka,WU Tharanga,HDRL Thirimanne,AD Mathews,N Dickwella †,DAS Gunaratne,NLTC Perera (c),SS Pathirana,A Dananjaya,RAS Lakmal,N Pradeep,RG Sharma ,NLTC Perera ,Sri Lanka,India
123,India,Sri Lanka,India,8 wickets,Visakhapatnam,"Dec 17, 2017",ODI # 3942,https://www.espncricinfo.com/India/engine/match/1122728.html,MD Gunathilaka,WU Tharanga,S Samarawickrama,AD Mathews,N Dickwella †,DAS Gunaratne,NLTC Perera (c),SS Pathirana,A Dananjaya,RAS Lakmal,N Pradeep,RG Sharma (c),S Dhawan,SS Iyer,KD Karthik,MS Dhoni † ,HH Pandya ,MK Pandey ,B Kumar ,Kuldeep Yadav ,JJ Bumrah ,YS Chahal,NLTC Perera ,RG Sharma ,India,Sri Lanka
124,South Africa,India,India,6 wickets,Durban,"Feb 1, 2018",ODI # 3969,https://www.espncricinfo.com/India/engine/match/1122279.html,Q de Kock †,HM Amla,F du Plessis (c),AK Markram,JP Duminy,DA Miller,CH Morris,AL Phehlukwayo,K Rabada,M Morkel,Imran Tahir,RG Sharma,S Dhawan,V Kohli (c),AM Rahane,HH Pandya,MS Dhoni †,KM Jadhav ,B Kumar ,Kuldeep Yadav ,JJ Bumrah ,YS Chahal,F du Plessis ,V Kohli ,South Africa,South Africa
125,South Africa,India,India,9 wickets,Centurion,"Feb 4, 2018",ODI # 3970,https://www.espncricinfo.com/India/engine/match/1122280.html,HM Amla,Q de Kock †,AK Markram (c),JP Duminy,DA Miller,K Zondo,CH Morris,K Rabada,M Morkel,Imran Tahir,T Shamsi,RG Sharma,S Dhawan,V Kohli (c),AM Rahane ,MS Dhoni † ,KM Jadhav ,HH Pandya ,B Kumar ,Kuldeep Yadav ,JJ Bumrah ,YS Chahal,AK Markram ,V Kohli ,India,South Africa
126,South Africa,India,India,124 runs,Cape Town,"Feb 7, 2018",ODI # 3971,https://www.espncricinfo.com/India/engine/match/1122281.html,RG Sharma,S Dhawan,V Kohli (c),AM Rahane,HH Pandya,MS Dhoni †,KM Jadhav,B Kumar,Kuldeep Yadav ,JJ Bumrah ,YS Chahal,HM Amla,AK Markram (c),JP Duminy,H Klaasen †,DA Miller,K Zondo,CH Morris,AL Phehlukwayo,K Rabada,Imran Tahir,L Ngidi,V Kohli ,AK Markram ,South Africa,India
127,South Africa,India,India,73 runs,Port Elizabeth,"Feb 13, 2018",ODI # 3976,https://www.espncricinfo.com/India/engine/match/1122283.html,S Dhawan,RG Sharma,V Kohli (c),AM Rahane,SS Iyer,HH Pandya,MS Dhoni †,B Kumar,Kuldeep Yadav,JJ Bumrah ,YS Chahal,HM Amla,AK Markram (c),JP Duminy,AB de Villiers,DA Miller,H Klaasen †,AL Phehlukwayo,K Rabada,M Morkel,T Shamsi,L Ngidi,V Kohli ,AK Markram ,South Africa,India
128,South Africa,India,India,8 wickets,Centurion,"Feb 16, 2018",ODI # 3978,https://www.espncricinfo.com/India/engine/match/1122284.html,AK Markram (c),HM Amla,AB de Villiers,K Zondo,H Klaasen †,F Behardien,CH Morris,AL Phehlukwayo,M Morkel,Imran Tahir,L Ngidi,S Dhawan,RG Sharma,V Kohli (c),AM Rahane,SS Iyer ,MS Dhoni † ,HH Pandya ,Kuldeep Yadav ,SN Thakur ,JJ Bumrah ,YS Chahal,AK Markram ,V Kohli ,India,South Africa
129,England,India,India,8 wickets,Nottingham,"Jul 12, 2018",ODI # 4014,https://www.espncricinfo.com/India/engine/match/1119546.html,JJ Roy,JM Bairstow,JE Root,EJG Morgan (c),BA Stokes,JC Buttler †,MM Ali,DJ Willey,AU Rashid,LE Plunkett,MA Wood,RG Sharma,S Dhawan,V Kohli (c),KL Rahul,SK Raina ,MS Dhoni † ,HH Pandya ,S Kaul ,Kuldeep Yadav ,UT Yadav ,YS Chahal,EJG Morgan ,V Kohli ,India,England
130,Hong Kong,India,India,26 runs,Dubai (DSC),"Sep 18, 2018",ODI # 4039,https://www.espncricinfo.com/India/engine/match/1153246.html,RG Sharma (c),S Dhawan,AT Rayudu,KD Karthik,MS Dhoni †,KM Jadhav,B Kumar,SN Thakur,Kuldeep Yadav,KK Ahmed ,YS Chahal,Nizakat Khan,Anshuman Rath (c),Babar Hayat,C Carter,KD Shah,Ehsan Khan,Aizaz Khan,SS McKechnie †,Tanwir Afzal,Ehsan Nawaz,Nadeem Ahmed,RG Sharma ,Anshuman Rath ,Hong,India
131,India,Pakistan,India,8 wickets,Dubai (DSC),"Sep 19, 2018",ODI # 4040,https://www.espncricinfo.com/India/engine/match/1153247.html,Imam-ul-Haq,Fakhar Zaman,Babar Azam,Shoaib Malik,Sarfaraz Ahmed (c) †,Asif Ali,Shadab Khan,Faheem Ashraf,Mohammad Amir,Hasan Ali,Usman Shinwari,RG Sharma (c),S Dhawan,AT Rayudu,KD Karthik,MS Dhoni † ,KM Jadhav ,HH Pandya ,B Kumar ,Kuldeep Yadav ,YS Chahal ,JJ Bumrah,Sarfaraz Ahmed  †,RG Sharma ,Pakistan,Pakistan
132,Bangladesh,India,India,7 wickets,Dubai (DSC),"Sep 21, 2018",ODI # 4042,https://www.espncricinfo.com/India/engine/match/1153249.html,Liton Das,Najmul Hossain Shanto,Shakib Al Hasan,Mushfiqur Rahim †,Mohammad Mithun,Mahmudullah,Mosaddek Hossain,Mashrafe Mortaza (c),Mehidy Hasan Miraz,Mustafizur Rahman,Rubel Hossain,RG Sharma (c),S Dhawan,AT Rayudu,MS Dhoni †,KD Karthik,KM Jadhav ,RA Jadeja ,B Kumar ,Kuldeep Yadav ,YS Chahal ,JJ Bumrah,Mashrafe Mortaza ,RG Sharma ,India,Bangladesh
133,India,Pakistan,India,9 wickets,Dubai (DSC),"Sep 23, 2018",ODI # 4044,https://www.espncricinfo.com/India/engine/match/1153251.html,Imam-ul-Haq,Fakhar Zaman,Babar Azam,Sarfaraz Ahmed (c) †,Shoaib Malik,Asif Ali,Shadab Khan,Mohammad Nawaz(3),Hasan Ali,Mohammad Amir ,Shaheen Shah Afridi,RG Sharma (c),S Dhawan,AT Rayudu,KM Jadhav ,MS Dhoni † ,KD Karthik ,Kuldeep Yadav ,RA Jadeja ,YS Chahal ,B Kumar ,JJ Bumrah,Sarfaraz Ahmed  †,RG Sharma ,Pakistan,Pakistan
134,Bangladesh,India,India,3 wickets,Dubai (DSC),"Sep 28, 2018",ODI # 4048,https://www.espncricinfo.com/India/engine/match/1153255.html,Liton Das,Mehidy Hasan Miraz,Imrul Kayes,Mushfiqur Rahim †,Mohammad Mithun,Mahmudullah,Soumya Sarkar,Mashrafe Mortaza (c),Nazmul Islam,Mustafizur Rahman,Rubel Hossain,RG Sharma (c),S Dhawan,AT Rayudu,KD Karthik,MS Dhoni †,KM Jadhav,RA Jadeja,B Kumar,Kuldeep Yadav,JJ Bumrah ,YS Chahal,Mashrafe Mortaza ,RG Sharma ,India,Bangladesh
135,India,West Indies,India,8 wickets,Guwahati,"Oct 21, 2018",ODI # 4056,https://www.espncricinfo.com/India/engine/match/1157754.html,KOA Powell,C Hemraj,SD Hope †,MN Samuels,SO Hetmyer,R Powell,JO Holder (c),AR Nurse,D Bishoo,KAJ Roach,O Thomas,RG Sharma,S Dhawan,V Kohli (c),AT Rayudu,RR Pant ,MS Dhoni † ,RA Jadeja ,YS Chahal ,UT Yadav ,Mohammed Shami ,KK Ahmed,JO Holder ,V Kohli ,India,West Indies
136,India,West Indies,India,224 runs,Mumbai (BS),"Oct 29, 2018",ODI # 4063,https://www.espncricinfo.com/India/engine/match/1157757.html,RG Sharma,S Dhawan,V Kohli (c),AT Rayudu,MS Dhoni †,KM Jadhav,RA Jadeja,B Kumar ,Kuldeep Yadav ,KK Ahmed ,JJ Bumrah,C Hemraj,KOA Powell,SD Hope †,MN Samuels,SO Hetmyer,R Powell,JO Holder (c),FA Allen,AR Nurse,KMA Paul,KAJ Roach,V Kohli ,JO Holder ,India,India
137,India,West Indies,India,9 wickets,Thiruvananthapuram,"Nov 1, 2018",ODI # 4064,https://www.espncricinfo.com/India/engine/match/1157758.html,KOA Powell,R Powell,SD Hope †,MN Samuels,SO Hetmyer,JO Holder (c),FA Allen,KMA Paul,D Bishoo,KAJ Roach,O Thomas,RG Sharma,S Dhawan,V Kohli (c),AT Rayudu ,KM Jadhav ,MS Dhoni † ,RA Jadeja ,B Kumar ,Kuldeep Yadav ,KK Ahmed ,JJ Bumrah,JO Holder ,V Kohli ,West Indies,West Indies
138,Australia,India,India,6 wickets,Adelaide,"Jan 15, 2019",ODI # 4078,https://www.espncricinfo.com/India/engine/match/1144998.html,AT Carey †,AJ Finch (c),UT Khawaja,SE Marsh,PSP Handscomb,MP Stoinis,GJ Maxwell,JA Richardson,NM Lyon,PM Siddle,JP Behrendorff,RG Sharma,S Dhawan,V Kohli (c),AT Rayudu,MS Dhoni †,KD Karthik,RA Jadeja ,Kuldeep Yadav ,B Kumar ,Mohammed Shami ,Mohammed Siraj,AJ Finch ,V Kohli ,Australia,Australia
139,Australia,India,India,7 wickets,Melbourne,"Jan 18, 2019",ODI # 4079,https://www.espncricinfo.com/India/engine/match/1144999.html,AT Carey †,AJ Finch (c),UT Khawaja,SE Marsh,PSP Handscomb,MP Stoinis,GJ Maxwell,JA Richardson,A Zampa,PM Siddle,B Stanlake,RG Sharma,S Dhawan,V Kohli (c),MS Dhoni †,KM Jadhav,KD Karthik ,V Shankar ,RA Jadeja ,B Kumar ,Mohammed Shami ,YS Chahal,AJ Finch ,V Kohli ,India,Australia
140,New Zealand,India,India,8 wickets,Napier,"Jan 23, 2019",ODI # 4082,https://www.espncricinfo.com/India/engine/match/1153691.html,MJ Guptill,C Munro,KS Williamson (c),LRPL Taylor,TWM Latham †,HM Nicholls,MJ Santner,DAJ Bracewell,TG Southee,LH Ferguson,TA Boult,RG Sharma,S Dhawan,V Kohli (c),AT Rayudu,KM Jadhav ,MS Dhoni † ,V Shankar ,Kuldeep Yadav ,YS Chahal ,B Kumar ,Mohammed Shami,KS Williamson ,V Kohli ,New Zealand,New Zealand
141,New Zealand,India,India,90 runs,Mount Maunganui,"Jan 26, 2019",ODI # 4085,https://www.espncricinfo.com/India/engine/match/1153692.html,RG Sharma,S Dhawan,V Kohli (c),AT Rayudu,MS Dhoni †,KM Jadhav,V Shankar ,Kuldeep Yadav ,YS Chahal ,B Kumar ,Mohammed Shami,MJ Guptill,C Munro,KS Williamson (c),LRPL Taylor,TWM Latham †,HM Nicholls,C de Grandhomme,DAJ Bracewell,IS Sodhi,LH Ferguson,TA Boult,V Kohli ,KS Williamson ,India,India
142,New Zealand,India,India,7 wickets,Mount Maunganui,"Jan 28, 2019",ODI # 4088,https://www.espncricinfo.com/India/engine/match/1153693.html,MJ Guptill,C Munro,KS Williamson (c),LRPL Taylor,TWM Latham †,HM Nicholls,MJ Santner,DAJ Bracewell,IS Sodhi,TA Boult,LH Ferguson,RG Sharma,S Dhawan,V Kohli (c),AT Rayudu,KD Karthik †,KM Jadhav ,HH Pandya ,Kuldeep Yadav ,YS Chahal ,B Kumar ,Mohammed Shami,KS Williamson ,V Kohli ,New Zealand,New Zealand
143,New Zealand,India,India,35 runs,Wellington,"Feb 3, 2019",ODI # 4092,https://www.espncricinfo.com/India/engine/match/1153695.html,RG Sharma (c),S Dhawan,Shubman Gill,AT Rayudu,MS Dhoni †,V Shankar,KM Jadhav,HH Pandya,B Kumar,Mohammed Shami,YS Chahal,C Munro,HM Nicholls,KS Williamson (c),LRPL Taylor,TWM Latham †,JDS Neesham,C de Grandhomme,MJ Santner,TD Astle,MJ Henry,TA Boult,RG Sharma ,KS Williamson ,India,India
144,India,Australia,India,6 wickets,Hyderabad (Deccan),"Mar 2, 2019",ODI # 4102,https://www.espncricinfo.com/India/engine/match/1168242.html,UT Khawaja,AJ Finch (c),MP Stoinis,PSP Handscomb,GJ Maxwell,AJ Turner,AT Carey †,NM Coulter-Nile,PJ Cummins,JP Behrendorff ,A Zampa,RG Sharma,S Dhawan,V Kohli (c),AT Rayudu,MS Dhoni †,KM Jadhav,V Shankar ,RA Jadeja ,Kuldeep Yadav ,Mohammed Shami ,JJ Bumrah,AJ Finch ,V Kohli ,Australia,Australia
145,India,Australia,India,8 runs,Nagpur,"Mar 5, 2019",ODI # 4106,https://www.espncricinfo.com/India/engine/match/1168243.html,RG Sharma,S Dhawan,V Kohli (c),AT Rayudu,V Shankar,KM Jadhav,MS Dhoni †,RA Jadeja,Kuldeep Yadav,Mohammed Shami,JJ Bumrah,AJ Finch (c),UT Khawaja,SE Marsh,PSP Handscomb,GJ Maxwell,MP Stoinis,AT Carey †,NM Coulter-Nile,PJ Cummins,NM Lyon,A Zampa,V Kohli ,AJ Finch ,Australia,India
146,India,South Africa,India,6 wickets,Southampton,"Jun 5, 2019",ODI # 4150,https://www.espncricinfo.com/India/engine/match/1144490.html,HM Amla,Q de Kock †,F du Plessis (c),HE van der Dussen,DA Miller,JP Duminy,AL Phehlukwayo,CH Morris,K Rabada,Imran Tahir,T Shamsi,S Dhawan,RG Sharma,V Kohli (c),KL Rahul,MS Dhoni †,HH Pandya,KM Jadhav ,B Kumar ,Kuldeep Yadav ,YS Chahal ,JJ Bumrah,F du Plessis ,V Kohli ,South Africa,South Africa
147,Australia,India,India,36 runs,The Oval,"Jun 9, 2019",ODI # 4155,https://www.espncricinfo.com/India/engine/match/1144496.html,RG Sharma,S Dhawan,V Kohli (c),HH Pandya,MS Dhoni †,KL Rahul,KM Jadhav,B Kumar ,Kuldeep Yadav ,YS Chahal ,JJ Bumrah,DA Warner,AJ Finch (c),SPD Smith,UT Khawaja,GJ Maxwell,MP Stoinis,AT Carey †,NM Coulter-Nile,PJ Cummins,MA Starc,A Zampa,V Kohli ,AJ Finch ,India,India
148,India,Pakistan,India,89 runs,Manchester,"Jun 16, 2019",ODI # 4161,https://www.espncricinfo.com/India/engine/match/1144504.html,KL Rahul,RG Sharma,V Kohli (c),HH Pandya,MS Dhoni †,V Shankar,KM Jadhav,B Kumar ,Kuldeep Yadav ,YS Chahal ,JJ Bumrah,Imam-ul-Haq,Fakhar Zaman,Babar Azam,Mohammad Hafeez,Sarfaraz Ahmed (c) †,Shoaib Malik,Imad Wasim,Shadab Khan,Hasan Ali ,Wahab Riaz ,Mohammad Amir,V Kohli ,Sarfaraz Ahmed  †,Pakistan,India
149,Afghanistan,India,India,11 runs,Southampton,"Jun 22, 2019",ODI # 4169,https://www.espncricinfo.com/India/engine/match/1144510.html,KL Rahul,RG Sharma,V Kohli (c),V Shankar,MS Dhoni †,KM Jadhav,HH Pandya,Mohammed Shami,Kuldeep Yadav,JJ Bumrah,YS Chahal,Hazratullah Zazai,Gulbadin Naib (c),Rahmat Shah,Hashmatullah Shahidi,Asghar Afghan,Mohammad Nabi,Najibullah Zadran,Rashid Khan,Ikram Alikhil †,Aftab Alam,Mujeeb Ur Rahman,V Kohli ,Gulbadin Naib ,India,India
150,India,West Indies,India,125 runs,Manchester,"Jun 27, 2019",ODI # 4175,https://www.espncricinfo.com/India/engine/match/1144516.html,KL Rahul,RG Sharma,V Kohli (c),V Shankar,KM Jadhav,MS Dhoni †,HH Pandya,Mohammed Shami,Kuldeep Yadav,YS Chahal ,JJ Bumrah,CH Gayle,SW Ambris,SD Hope †,N Pooran,SO Hetmyer,JO Holder (c),CR Brathwaite,FA Allen,KAJ Roach,SS Cottrell,O Thomas,V Kohli ,JO Holder ,India,India
